pattern_id,class_id,count,delivery_offset_s
P000041,C013,2,1409.111829747456
P000042,C012,1,1349.111829747456
P000043,C012,1,1409.111829747456
P000043,C016,1,1409.111829747456
P000044,C012,1,1409.111829747456
P000044,C015,1,1409.111829747456
P000045,C012,1,1409.111829747456
P000045,C014,1,1409.111829747456
P000046,C012,1,1409.111829747456
P000046,C013,1,1409.111829747456
P000047,C021,1,1313.6263671531592
P000048,C020,1,1313.6263671531592
P000049,C019,1,1313.6263671531592
P000050,C018,1,1313.6263671531592
P000051,C018,1,1373.6263671531592
P000051,C021,1,1373.6263671531592
P000052,C018,1,1373.6263671531592
P000052,C020,1,1373.6263671531592
P000053,C017,1,1313.6263671531592
P000054,C017,1,1373.6263671531592
P000054,C021,1,1373.6263671531592
P000055,C017,1,1373.6263671531592
P000055,C020,1,1373.6263671531592
P000056,C017,1,1373.6263671531592
P000056,C019,1,1373.6263671531592
P000057,C017,1,1373.6263671531592
P000057,C018,1,1373.6263671531592
P000058,C026,1,1070.635719000899
P000059,C025,1,1070.635719000899
P000060,C024,1,1070.635719000899
P000061,C023,1,1070.635719000899
P000062,C023,1,1130.635719000899
P000062,C026,1,1130.635719000899
P000063,C023,1,1130.635719000899
P000063,C025,1,1130.635719000899
P000064,C022,1,1070.635719000899
P000065,C022,1,1130.635719000899
P000065,C026,1,1130.635719000899
P000066,C022,1,1130.635719000899
P000066,C025,1,1130.635719000899
P000067,C022,1,1130.635719000899
P000067,C024,1,1130.635719000899
P000068,C022,1,1130.635719000899
P000068,C023,1,1130.635719000899
P000069,C031,1,875.0708250633121
P000070,C030,1,875.0708250633121
P000071,C029,1,875.0708250633121
P000072,C028,1,875.0708250633121
P000073,C028,1,935.0708250633121
P000073,C031,1,935.0708250633121
P000074,C028,1,935.0708250633121
P000074,C030,1,935.0708250633121
P000075,C027,1,875.0708250633121
P000076,C027,1,935.0708250633121
P000076,C031,1,935.0708250633121
P000077,C027,1,935.0708250633121
P000077,C030,1,935.0708250633121
P000078,C027,1,935.0708250633121
P000078,C029,1,935.0708250633121
P000079,C027,1,935.0708250633121
